,question,entities,MuHeQA_FLERT
0,Where did roger marquis die,['Roger Marquis'],['roger marquis']
1,what was the cause of death of yves klein,['Yves Klein'],['yves klein']
2,What position does carlos gomez play?,['Carlos Gómez'],['carlos gomez']
3,how does engelbert zaschka identify ,['Engelbert Zaschka'],['engelbert zaschka']
4,what position does pee wee reese play in baseball,['Pee Wee Reese'],['pee wee reese']
5,Which Swiss conductor's cause of death is myocardial infarction?,['myocardial infarction'],['Swiss']
6,where was padraic mcguinness's place of death,['Padraic McGuinness'],['padraic mcguinness']
7,what is the place of birth of sam edwards?,['Sam Edwards'],['sam edwards']
8,Which home is an example of italianate architecture?,['Italianate architecture'],['italianate architecture']
9,who published neo contra,['Neo Contra'],['neo contra']
10,what is angie estes's profession ,['Angie Estes'],['angie estes']
11,what position does josé francisco torres play?,['José Francisco Torres'],['josé francisco torres']
12,what male actor was born in  warsaw,['Warsaw'],['warsaw']
13,who was also born in jakarta,['Jakarta'],['jakarta']
14,Who was born in prague,['Prague'],['prague']
15,where was guy pnini born,['Guy Pnini'],['guy pnini']
16,what is an album recorded by scott grimes,['Scott Grimes'],['scott grimes']
17,what was the country of origin of the tv show sidewalks entertainment,['Sidewalks Entertainment'],['tv show sidewalks entertainment']
18,who was the architect of the structure tour perret,['Tour Perret'],['structure tour perret']
19,What is an album by guy clark?,['Guy Clark'],['guy clark']
20,what's the name of an Australian rock and roll,['rock and roll'],['Australian']
21,what is the category of the celestial object 1241 dysona,['1241 Dysona'],['celestial object 1241 dysona']
22,What is a type of gameplay available to gamers playing custom robo v2,['Custom Robo V2'],"['gamers', 'custom robo v2']"
23,What's an example of a romance film,['romance film'],['romance film']
24,where was shigeyasu suzuki's place of birth,['Shigeyasu Suzuki'],['shigeyasu suzuki']
25,which nationality is yonatan rozen,['Jonathan Rozen'],['yonatan rozen']
26,which indian city was fazil born in,['Fazil'],"['indian city', 'fazil']"
27,where was paolo de la haza born?,['Paolo de la Haza'],['paolo de la haza']
28,what gender is daniela cristofori ,['Daniela Cristofori'],['daniela cristofori']
29,in which country was overnight delivery filmed in,['Overnight Delivery'],"['country', 'overnight delivery']"
30,what is the second level division of the division crixás do tocantins,['Crixás do Tocantins'],"['division crixas', 'tocantins']"
31,Which film was directed by ian iqbal rashid,['Ian Iqbal Rashid'],['ian iqbal rashid']
32,in what county is monango found,['Monango'],"['county', 'monango']"
33,who recorded rca records,['RCA Records'],['rca records']
34,who is the artist of breathing your love?,['Breathing Your Love'],['love']
35,What is a gampelay mode found in the game allegiance,['Allegiance'],"['gampelay mode', 'game allegiance']"
36,What type of film is raghuvinte swantham raziya,['Raghuvinte Swantham Raziya'],['raghuvinte swantham raziya']
37,Which films has leonid gaidai written,['Leonid Gaidai'],['leonid gaidai']
38,What is an organization that j. a. folger founded?,['J. A. Folger'],['j. a. folger']
39,What is shinji mori's gender?,['Shinji Mori'],['shinji mori']
40,what style of msuic did john pizzarelli play ,['John Pizzarelli'],['john pizzarelli']
41,what does  2674 pandarus orbit,['2674 Pandarus'],['2674 pandarus orbit']
42,what is trond egil soltvedt's birth place ,['Trond Egil Soltvedt'],['trond egil soltvedt']
43,what series is super mario bros. 2 a part of,['Super Mario Bros. 2'],['super mario bros . 2']
44,what disease did anthony perkins die of,['Anthony Perkins'],['anthony perkins']
45,what is the mouth of the schuylkill river,['Schuylkill River'],['schuylkill river']
46,Which genre of book is bin laden: the man who declared war on america?,['Bin Laden: The Man Who Declared War on America'],"['bin laden : the man', 'america']"
47,Name a model that died due to a car accident,['traffic collision'],"['model', 'car accident']"
48,which position does brian dowling play in football,['Brian Dowling'],['brian dowling']
49,who was born in catania,['Catania'],['catania']
50,who discovered 4171 carrasco,['4171 Carrasco'],['4171 carrasco']
51,What is the profession of julio medem?,['Julio Médem'],['julio medem']
52,where was walter müller born,['Walter Müller'],['walter müller']
53,who published the video game fable (video game),['Fable'],"['video game fable', 'video game']"
54,what is the nationality of chris gwynn?,['Chris Gwynn'],['chris gwynn']
55,Which film did enrico medioli write?,['Enrico Medioli'],['enrico medioli']
56,which film is classified as a silent film,['silent film'],"['film', 'silent film']"
57,jack warner produced what american film?,['Jack Warner'],"['jack warner', 'american film']"
58,What is the name of an album by superdrag,['Superdrag'],['superdrag']
59,What genre is the island of disco ensemble,['The Island of Disco Ensemble'],"['genre', 'disco ensemble']"
60,which county contains buckley,['Buckley'],['buckley']
61,what artist is signed with warner music group,['Warner Music Group'],"['artist', 'warner music group']"
62,what country is dracula in brianza from,['Dracula in the Provinces'],['country']
63,which country is mark kramer from,['Mark Kramer'],['mark kramer']
64,how did janet gaynor pass away?,['Janet Gaynor'],['janet gaynor']
65,What is fred hawkins's gender?,['Fred Hawkins'],['fred hawkins']
66,What sort of music is soundwave 2010,['Soundwave 2010'],"['music', 'soundwave 2010']"
67,is a song for summer a romance novel or drama,['A Song for Summer'],"['summer', 'romance novel or drama']"
68,what gender is mohinder suresh,['Mohinder Suresh'],['mohinder suresh']
69,WHat language is spoke in lenny,['Lenny'],['lenny']
70,what is the sex of jordon dizon,['Jordon Dizon'],['jordon dizon']
71,what album is by jethro tull (band)?,['Jethro Tull'],['jethro tull']
72,what is an example of a role-playing video game ,['role-playing video game'],['video game']
73,what war was thomas whitham in,['Thomas Whitham'],['thomas whitham']
74,what is the name of a work done by  gary paulsen,['Gary Paulsen'],['gary paulsen']
75,What gender is werner m. moser?,['Werner M. Moser'],['werner m. moser']
76,which country is the film the fish child from,['The Fish Child'],"['country', 'film']"
