"Question";"First 3 Words";"Last 3 Words"
"Which universities are alma mater to Charles Plosser?";"Which universities are";" to Charles Plosser?"
"Name the basketball player who played for Phoenix Suns and Los Angeles Clippers was his draft team?";"Name the basketball";" his draft team?"
"Count the key people of the Clinton Foundation?";"Count the key";" the Clinton Foundation?"
"What is the purpose of Maharashtra Chess Association ?";"What is the";" Chess Association ?"
"Tandem Computers is the subsidiary of which company?";"Tandem Computers is";" of which company?"
"List all the collaborators of the artist which has collaborated with sanremo Music Festival?";"List all the";" sanremo Music Festival?"
"Who first ascended a mountain of Cathedral Peak (California)?";"Who first ascended";" Cathedral Peak (California)?"
"Was Noko a band member of Luxuria?";"Was Noko a";" member of Luxuria?"
"How many other genre are there of the radio stations whose one of the genre is Classic rock?";"How many other";" is Classic rock?"
"What are some products manufactured by Sony?";"What are some";" manufactured by Sony?"
"Name the sports played by Jamiatu Muslim Mindanao?";"Name the sports";" Jamiatu Muslim Mindanao?"
"What is the allegiance of the Albert Kwesi Ocran and state of origin of the Jojo Chintoh?";"What is the";" the Jojo Chintoh?"
"How many universities are there whose country's capital is Oslo?";"How many universities";" capital is Oslo?"
"Members of how many political parties have died in Delhi?";"Members of how";" died in Delhi?"
"Who is the musical artist worked for labels Celluloid Records and Victor Entertainment?";"Who is the";" and Victor Entertainment?"
"List the director of The Adventures of mimi?";"List the director";" Adventures of mimi?"
"Which governer of Winston bryant is also the president of Carl Stokes ?";"Which governer of";" Carl Stokes ?"
"What magazines are form the Limited liability company?";"What magazines are";" Limited liability company?"
"Who wrote the play in which Blanche DuBois is a character?";"Who wrote the";" is a character?"
"In which areas are the radio stations of Monticello, Maine available too?";"In which areas";" Maine available too?"
"Which country gave birth to the Lemberger LD20b and Start+Flug H101 aircrafts?";"Which country gave";" Start+Flug H101 aircrafts?"
"Give me all tv shows which are based in boston and massachusetts?";"Give me all";" boston and massachusetts?"
"What things have founded place as United States and New Mexico?";"What things have";" and New Mexico?"
"List the newspapers whose offices are situated in 1211 Avenue of the Americas?";"List the newspapers";" of the Americas?"
"How many people have led agencies in German occupied Europe?";"How many people";" German occupied Europe?"
"Which job of Irving Chernev is the non-fiction subject of the Thud ?";"Which job of";" the Thud ?"
"What are the different religions followed by presidents whose prime minister was Surayud Chulanont?";"What are the";" was Surayud Chulanont?"
"The people who did their high school in Palm City, Florida did their college where?";"The people who";" their college where?"
"In which part of the world will I find Kim Sawchuk and Vuelta Mexico Telmex?";"In which part";" Vuelta Mexico Telmex?"
"The successor of Ulrich II, Count of East Frisia was born in what place?";"The successor of";" in what place?"
"Name the notable work by Russell T Davis which is also the series of Doctor Who:Destiny of the Doctors ?";"Name the notable";" the Doctors ?"
"Which destination of the Novair International Airways is also the predecessor of the Chevrolet Caprice?";"Which destination of";" the Chevrolet Caprice?"
"Name some shows whose company is owned by the CBS Corporation?";"Name some shows";" the CBS Corporation?"
"What awards have the narrator of the Cries and Whispers won?";"What awards have";" and Whispers won?"
"Name the companies which are in cities under Denzil Minnan Wong?";"Name the companies";" Denzil Minnan Wong?"
"Mouse Morris' horses have raced in which races?";"Mouse Morris' horses";" in which races?"
"Name a queen whose parent is Ptolemy XII Auletes and consort is Ptolemy XIII Theos Philopator?";"Name a queen";" XIII Theos Philopator?"
"Which company has a product named Visual Studio and One Drive as service ?";"Which company has";" as service ?"
"What is the layout of the automobiles whose designer company is Olivier Boulay?";"What is the";" is Olivier Boulay?"
"Which things have been located, where governance is Houston City Council?";"Which things have";" Houston City Council?"
"Is Bluebird the grandsire of Miss Potential?";"Is Bluebird the";" of Miss Potential?"
"What are the awards won by the producer of Puss in Boots (film)?";"What are the";" in Boots (film)?"
"How many artists have their works in the Sao Paolo Museum of Art?";"How many artists";" Museum of Art?"
"Where can i find salad based food?";"Where can i";" salad based food?"
"What work has been directed by Orson Welles and distributed by RKO Pictures?";"What work has";" by RKO Pictures?"
"How many games have a composer who worked for the Creatures?";"How many games";" for the Creatures?"
"Who are some cofounders of record labels with Frank Rogers?";"Who are some";" with Frank Rogers?"
"Name the sea whose inflow is Kemijoki and outflow is Danish straits?";"Name the sea";" is Danish straits?"
"Which owner of Drop.io made Sean Parker famous?";"Which owner of";" Sean Parker famous?"
"Count the awards given to the recepients of the Becket fund for religious liberty.";"Count the awards";" for religious liberty."
"What is Bob Adams (American football) known for?";"What is Bob";" football) known for?"
"What are some TV shows whose voice actors are from Truckee, California, US?";"What are some";" Truckee, California, US?"
"Who authored the works published in the Jump Square Magazine?";"Who authored the";" Jump Square Magazine?"
"Paris Sisters singles are of which language?";"Paris Sisters singles";" of which language?"
"What were robert sarvis and Jack Ryan nominated for ?";"What were robert";" nominated for ?"
"Is camel of the chordate phylum?";"Is camel of";" the chordate phylum?"
"What are some tv shows created by Simon Fuller?";"What are some";" by Simon Fuller?"
"Who was member of boards at Royal Society and Trinity House?";"Who was member";" and Trinity House?"
"Name the musician who gave the music in Tonight's the night and is also wedded to Alana Stewart ?";"Name the musician";" Alana Stewart ?"
"What is the place of birth of the Kira Plastinina and Sergey Ryazansky?";"What is the";" and Sergey Ryazansky?"
"What is the affiliation of Lumbini Bauddha University ?";"What is the";" Bauddha University ?"
"Titus software publishes which genre of games?";"Titus software publishes";" genre of games?"
"What is the Band whose band member is Mark Middleton?";"What is the";" is Mark Middleton?"
"Name the company which provides Outlook.com as service and also has a product named Microsoft Azure?";"Name the company";" named Microsoft Azure?"
