,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
0,Where did roger marquis die,['Roger Marquis'],['Roger_Marquis'],"['Roger_Marquis,_2nd_Earl_of_Woolton', 'Ça_Ira_(opera)', 'Roger_Machado_Marques', 'Roger_Marquis', 'Gaston-Robert,_Marquis_de_Banneville', 'Marques_Houston', 'Vice_and_Virtue', 'Simon_Marquis,_3rd_Earl_of_Woolton', 'Emma_of_Hauteville', 'Angelo_Maccagnino']",['Roger_Marquis'],['Roger_Marquis'],['Roger_Marquis'],['Roger_Marquis'],['Roger_Marquis']
1,What position does carlos gomez play?,['Carlos Gomez'],['Carlos_Gómez'],"['Carlos_Gomes_Júnior', 'Juan_Carlos_Gómez', 'Carlos_Gomes', 'Carlos_Gómez_(actor)', 'Scott_Gomez', 'Roberto_Carlos_Mario_Gómez', 'Carlos_Gómez-Herrera', 'Carlos_Argüello_Gómez', 'Carlos_Gomes_(footballer,_born_1932)', 'Carlos_Gómez']",['Carlos_Gómez'],[],['Scott_Gomez'],['Scott_Gomez'],['Carlos_Gómez']
2,how does engelbert zaschka identify,['Engelbert Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka'],['Engelbert_Zaschka']
3,what position does pee wee reese play in baseball,['Pee Wee Reese'],['Pee_Wee_Reese'],"['Pee_Wee_Reese', 'American_Amateur_Baseball_Congress', '1984_Baseball_Hall_of_Fame_balloting', 'The_Boys_of_Summer_(book)', 'Ted_McGrew', '1941_Play_Ball_Cards', 'Harriet_Taub', 'Wainy_Days']",['Pee_Wee_Reese'],['Pee_Wee_Reese'],['Pee_Wee_Reese'],['Pee_Wee_Reese'],"['Pee_Wee_Reese', 'Urine']"
4,Which Swiss conductor's cause of death is myocardial infarction?,['Myocardial infarction'],['Myocardial_infarction'],"['Myocardial_infarction', 'Myocardial_infarction_diagnosis', 'Electrocardiography_in_myocardial_infarction', 'Management_of_acute_coronary_syndrome', 'TIMI', 'Myocardial_Ischaemia_National_Audit_Project', 'Panoramic_radiograph', 'Myocardial_infarction_complications', 'Cardiovascular_disease', 'Beta_blocker']",['Myocardial_infarction'],['Myocardial_infarction'],['Myocardial_infarction'],['Myocardial_infarction'],"['Switzerland', 'Conducting', 'Infarction']"
5,where was padraic mcguinness's place of death,['Padraic McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness'],['Padraic_McGuinness']
6,what is the place of birth of sam edwards?,['Sam Edwards (physicist)'],['Sam_Edwards_(physicist)'],"['Sam_Edwards_(physicist)', 'Institute_of_Physics_Awards', 'W._Edwards_Deming', 'Reptation', 'Edward_Samuel_Ritchie', 'Edward_Purcell', 'Masao_Doi', 'David_Cromwell', 'Enrico_Fermi_Institute', 'Earle_M._Terry']",['Sam_Edwards_(physicist)'],['Sam_Edwards_(physicist)'],['Sam_Edwards_(physicist)'],['Sam_Edwards_(physicist)'],['Sam_Edwards']
7,Which home is an example of italianate architecture?,['Italianate architecture'],['Italianate_architecture'],"['Italianate_architecture', 'Australian_residential_architectural_styles', 'Renaissance_Revival_architecture', 'Richard_Upjohn', 'Samuel_Sloan_(architect)', 'Charles_Barry', 'Lister_Mills', 'United_States_Post_Office–Stamford_Main', 'Morrill_Hall_(University_of_Nevada,_Reno)', 'Arendt–Seymour_House']",['Italianate_architecture'],['Italianate_architecture'],['Italianate_architecture'],['Italianate_architecture'],['Italianate_architecture']
8,who published neo contra,['Neo Contra'],['Neo_Contra'],"['OMICS_Publishing_Group', 'Neo_Contra', 'Gothic_Revival_architecture', 'List_of_Latin_phrases_(C)', 'Chlaenius', 'Dichtung_und_Wahrheit', 'List_of_Dove_Medical_Press_academic_journals', 'Neo-classical_contract', 'List_of_Latin_phrases_(N)', 'Birth_control_pill_formulations']",['Neo_Contra'],['Neo_Contra'],['Neo_Contra'],['Neo_Contra'],['Neo_Contra']
9,what is angie estes's profession,['Angie Estes'],['Angie_Estes'],"['Angie_Estes', 'Estel-Anaïs_Hubaud', 'List_of_90210_characters', 'Howard_McCord', 'Harry_Estes_Kelsey', 'Bürgi–Dunitz_angle', 'Unoprostone']",[],[],['Estel-Anaïs_Hubaud'],"['Harry_Estes_Kelsey', 'Estel-Anaïs_Hubaud']",['Angie_Estes']
