"question_id";"question";"answer"
"0";"What is population of Somalia that is point in time is 2009-0-0 ?";"9380854"
"1";"What is the country for head of state of Mahmoud Abbas";""
"2";"What is population of Clermont-Ferrand that is point in time is 2013-1-1 ?";"141463"
"3";"Give me mode of transport that contains the word vehicle in their name";"motor vehicle, electric vehicle"
"4";"what is the end time for Jonathan Swift has residence as Whitehaven ?";"1671-01-01T00:00:00Z"
"5";"What is lakes on river of Lake Winnipeg ?";"Nelson River"
"6";"what is the for work for Danny Elfman has nominated for as Academy Award for Best Original Score ?";"Milk, Big Fish"
"7";"What is nominated for of Dolores del Río that is for work is La Otra ?";"Ariel Award for Best Actress"
"8";"What is the opera for based on of Twelfth Night";""
"9";"Give me cinematic technique that contains the word tilt in their name";"tilt"
"10";"what is the located in the administrative territorial entity for Rideau Canal has mouth of the watercourse as Ottawa River ?";"Ottawa"
"11";"what is the nominee for The Truman Show has nominated for as Academy Award for Best Supporting Actor ?";"Ed Harris"
"12";"What is nominated for of Franz Waxman that is statement is subject of is 23rd Academy Awards ?";"Academy Award for Best Original Dramatic or Comedy Score"
"13";"Give me historical period that time period Muromachi period and which contains the word period in their name";"Sengoku period, Nanboku-chō period"
"14";"What is PIM authority ID of Paul Erdős ?";"PIM52895"
"15";"what is the point in time for Rio Grande do Sul has nominal GDP as 1.15e+11 ?";""
"16";"What is Minneapolis Institute of Art constituent ID of Johannes Gutenberg ?";"12201"
"17";"What is wedded to of Radha, that has children is Samba ?";"Krishna"
"18";"What is the deity for student of John the Apostle";"Jesus"
"19";"What is born at of Bertha Benz, that has inhabitants is 101165.0 ?";""
"20";"What is the socialist state for contains administrative territorial entity of Beijing";"""Peoples Republic of China"""
"21";"What is Poetry In Voice poet ID of Percy Bysshe Shelley ?";"percy-bysshe-shelley"
"22";"What is the open cluster with the MAX(radius) ?";"NGC 281, Messier 37, Messier 26, Messier 46, Alpha Persei Cluster"
"23";"What is TDKIV term ID of blog ?";"000014546"
"24";"What is head of government of Seattle and work period (end)";"1910-03-07T00:00:00Z, 2009-12-31T00:00:00Z, 1906-03-05T00:00:00Z, 1890-07-13T00:00:00Z, 1940-03-05T00:00:00Z, 1928-03-06T00:00:00Z, 1960-03-07T00:00:00Z"
"25";"What is maximum Strahler number of Loire ?";"8"
"26";"What is the cause of death and the place of death of John_Denver ?";"aviation accident"
"27";"What is the human spaceflight for crew member of Yuri Gagarin";"Vostok 1"
"28";"What is the religión étnica for practiced by of Jewish people";""
"29";"Give me national sports team that country Australia and which contains the word team in their name";"""Australia mens national field hockey team"", Australia national baseball team, ""Australia mens national basketball team"", Australia Fed Cup team, ""Australia womens national volleyball team"", ""Australia mens national volleyball team"", ""Australia womens national ice hockey team"", ""Australia womens national field hockey team"", ""Australia womens national basketball team"", Australia national cricket team, ""Australia womens national gymnastics team"", Papua New Guinea national Australian rules football team, Samoa national Australian rules football team, New Zealand national Australian rules football team, Norfolk Island national rugby league team, Ireland national Australian rules football team, Australian Schoolboys national baseball team, Australian Schoolboys rugby league team, Australian Paralympic wheelchair tennis team, ""Australia mens national lacrosse team"", Australia national indoor lacrosse team, Australia national under-20 rugby union team, ""Australia womens national softball team"", ""Australia womens national wheelchair basketball team at the 2012 Summer Paralympics"", Australia national curling team (mixed)"
"30";"What is eponym of Lake Eyre, that has winner of is Founder’s Medal ?";"Edward John Eyre"
"31";"What is unit conversion of theme of joule ?";""
"32";"Does the time-weighted average exposure limit of the cobalt equals 0.1";"True"
"33";"Give me ethnolect that indigenous to United States of America and which contains the word american in their name";"American English"
"34";"What is voice actresses of South Park, that has employment is singer ?";"Trey Parker, John Lydon, Ozzy Osbourne, Isaac Hayes, Jay Leno, Mona Marshall, Eliza Schneider, Tim Armstrong, Tomorô Taguchi"
"35";"What is the business for founded by of Ingvar Kamprad";"Ikano Bank, Inter IKEA Holding, INGKA Holding"
"36";"What is position held of Harry S. Truman that is start time is 1935-1-3 ?";"United States senator"
"37";"What is married to of actor of Bepanaah ?";"Jennifer Kendal, Sridevi, Yogeeta Bali"
"38";"What is eponym of Juan de Fuca Plate, that has died on is 1602-1-1 ?";"Juan de Fuca"
"39";"What is the capital for twinned administrative body of Hamburg";"Prague, São Paulo"
"40";"What is BMLO of Frederick William I of Prussia ?";"h1232"
"41";"What is the business for publisher of Space Invaders";"Midway Games"
"42";"What is bordered by of is in of Southern Africa ?";"Asia, Eurasia"
"43";"What is the IQ test for measures of intelligence";"Wechsler Adult Intelligence Scale, Wechsler Intelligence Scale for Children, Stanford–Binet Intelligence Scales"
"44";"What is arterial supply of human nose ?";"sphenopalatine artery"
"45";"Does the quantity buried of the Brazilian Military Cemetery of Pistoia equals 369.6";"False"
"46";"What is died in of Margaret Murray, that has county seat of is Kingdom of Essex ?";""
