,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
0,Where did roger marquis die,"['Holyoke, Massachusetts']","['Holyoke', 'Holyoke  Massachusetts']",['Holyoke'],"['Holyoke', 'Holyoke  Massachusetts']","['Holyoke', 'Holyoke  Massachusetts', '2004-07-19']",['Holyoke'],['Holyoke'],"['Holyoke', '2004-07-19T00:00:00']","['Holyoke', '2004-07-19T00:00:00', '1969']",['Holyoke  Massachusetts'],['Holyoke  Massachusetts'],"['Holyoke  Massachusetts', '2004-07-19']","['Holyoke  Massachusetts', '2004-07-19']"
1,What position does carlos gomez play?,['Center fielder'],"['defender', 'Center fielder']",['defender'],"['defender', 'Center fielder']","['defender', 'Center fielder', 'association football']",['defender'],['defender'],"['defender', 'association football']","['defender', 'association football', 'Atlético Potosino']",['Center fielder'],['Center fielder'],"['Center fielder', 'New York Mets']","['Center fielder', 'New York Mets', 'MLB']"
2,how does engelbert zaschka identify,[nan],['German'],['German'],"['German', 'male']","['German', 'male', 'Engelbert']",['male'],['male'],"['male', 'Engelbert']","['male', 'Engelbert', 'Freiburg im Breisgau']",['German'],['German'],"['German', 'Orionette']","['German', 'Orionette', 'Unterschrift von Engelbert Zaschka.jpg']"
3,what position does pee wee reese play in baseball,['Shortstop'],"['shortstop', 'Shortstop']",['shortstop'],"['shortstop', 'Shortstop']","['shortstop', 'Shortstop', 'Los Angeles Dodgers']",['shortstop'],['shortstop'],"['shortstop', 'Los Angeles Dodgers']","['shortstop', 'Los Angeles Dodgers', 'Major League Baseball']",['Shortstop'],['Shortstop'],"['Shortstop', 'Right']","['Shortstop', 'Right', 'MLB']"
4,Which Swiss conductor's cause of death is myocardial infarction?,['Moses J. Epstein'],"['Thure Widlund', 'Helge Bäcklund', 'Ángel José Ramos Saavedra', 'Ferdinand Tusel']",['Thure Widlund'],"['Thure Widlund', 'Helge Bäcklund']","['Thure Widlund', 'Helge Bäcklund', 'Ángel José Ramos Saavedra']","['Thure Widlund', 'Helge Bäcklund', 'Ángel José Ramos Saavedra', 'Ferdinand Tusel']",['Thure Widlund'],"['Thure Widlund', 'Helge Bäcklund']","['Thure Widlund', 'Helge Bäcklund', 'Ángel José Ramos Saavedra']",[],[],[],[]
5,where was padraic mcguinness's place of death,['Australia'],['Sydney'],['Sydney'],"['Sydney', 'Sydney  New South Wales  Australia']","['Sydney', 'Sydney  New South Wales  Australia', '2008-01-26']",['Sydney'],['Sydney'],"['Sydney', 'skin cancer']","['Sydney', 'skin cancer', '2008-01-26']",['Sydney  New South Wales  Australia'],['Sydney  New South Wales  Australia'],"['Sydney  New South Wales  Australia', '2008-01-26']","['Sydney  New South Wales  Australia', '2008-01-26']"
6,what is the place of birth of sam edwards?,['Swansea'],"['Swansea', 'Macon']",['Swansea'],"['Swansea', 'Macon']","['Swansea', 'Macon', 'Swansea  Wales']","['Swansea', 'Macon']",['Swansea'],"['Swansea', 'Macon']","['Swansea', 'Macon', '1928']",['Swansea  Wales'],['Swansea  Wales'],"['Swansea  Wales', 'Macon  Georgia']","['Swansea  Wales', 'Macon  Georgia', '1928-02-01']"
7,Which home is an example of italianate architecture?,['280 Broadway'],"['Brown Township Building', 'Chatsworth House', '359 Broadway', 'Beardstown Grand Opera House', 'Francis D. Alling House', 'George B. Cox House', 'Jacob D. Cox House', 'Fox Hollies Hall', 'Gould Hyde Norton House', 'Cuvier Press Club Building', 'First Christian Church Parsonage', 'Christopher C. Walker House and Farm', 'Corydon Brown House', 'Joseph W. Baldwin House', 'Arlington Hotel', 'East 78th Street Houses', 'Campbell-Rumsey House', 'Palacio de los Leones', 'Adam and Mary Smith House', 'Amelia Bloomer House', 'Benjamin Boorman House', 'Honolulu Hale', 'Brown-Maynard House', 'Horton-Suiter House', 'Hose House No. 10', 'Deacon West Octagon House', 'Harvey Cross House', 'Edwin W. and Charlotte Clarke House', 'James Dixon House', 'Charles Nelson Schmick House', 'Emily Carr House', 'First Congregational Parsonage', 'Harvey Wells House', 'Foss and Wells House', 'John and Helen Moore House', 'John and Maria Adams House', 'James Dwight Dana House', 'John Mason House', 'Baston Lodge', 'Piper-Price House', 'Townhill Park House', 'Randwick Town Hall', 'Van Horne Mansion', 'Reading Town Hall', 'Markham Village Town Hall', 'Newcastle Customs House', 'International Savings & Exchange Bank Building', 'Bernard Ratterman House', 'John C. Pollock House', 'Luethstrom–Hurin House', 'Riddle–Friend House', 'Standard House', 'William H. Roberts House', 'Adrian Engine House No. 1', 'Cox–Williams House', 'F.H. Miller House', 'Geiser Grand Hotel', 'Ulster House Hotel', 'Baker-Merrill House', 'Bredeick–Lang House', 'Gilligan and Stevens Block', 'Harry Packer Mansion', 'John Heck House', 'Robert Colgate House', 'Shriner–Ketcham House', 'Smith–Turner House', 'Stone Manor', 'William English House', 'William Tanner House Museum', 'William Whitney House', 'Alvord I. Smith House', 'Dr. Samuel Catlin House', 'Henry Lischer House', 'Horton–Suiter House', 'J.W. Stewart House', 'Jacob Suiter House', 'James Gamble House', 'John Kendrick House', 'Schauder Hotel', 'State Street Houses', 'Villa Bella Vista', 'A.W. Pratt House', 'Aloys Bilz House', 'Benjamin Van Raalte House', 'D.A. Varnado and Son Store', 'Edward P. Ferry House', 'Engelbert B. Born House', 'Harrison Stuckslager House', 'Isaac Cappon House', 'Oakes-Wood House', 'Porter-Leath House', 'Samuel M. Lane House', 'Sarah Lowe Stedman House', 'Wesley West House', 'Wilbur D. and Hattie Cannon House', 'William H. Brown House', 'Thornton Niven House', 'Omni Bedford Springs Resort', 'Edward Augustus Russell House', 'Hall for Cornwall', 'Hotel Colorado', 'Moses J. Taylor House', 'Shoreditch Town Hall', 'Andrew C. Vaughn House', 'Clerc-Carson House', 'George Haven House', 'George Stumpf House', 'Hartwell B. Hyde House', 'Henry Pointer House', 'James Wilhoite House', 'James Wylie House', 'John S. Honeyman House', 'Jordan–Williams House', 'Joseph and Lucy Foster Sexton House', 'Justice Samuel Freeman Miller House', 'McPike Mansion']",['Francis D. Alling House'],"['Francis D. Alling House', 'George B. Cox House']","['Francis D. Alling House', 'George B. Cox House', 'Jacob D. Cox House']","['Arlington Hotel', 'East 78th Street Houses', 'Brown Township Building', 'Chatsworth House', 'Campbell-Rumsey House', 'Palacio de los Leones', 'Adam and Mary Smith House', 'Amelia Bloomer House', 'Benjamin Boorman House', '359 Broadway', 'Beardstown Grand Opera House', 'Honolulu Hale', 'Brown-Maynard House', 'Horton-Suiter House', 'Hose House No. 10', 'Elmwood Place', 'Francis D. Alling House', 'George B. Cox House', 'Jacob D. Cox House', 'Deacon West Octagon House', 'Harvey Cross House', 'Fox Hollies Hall', 'Gould Hyde Norton House', 'Cuvier Press Club Building', 'Edwin W. and Charlotte Clarke House', 'First Christian Church Parsonage', 'James Dixon House', 'Charles Nelson Schmick House', 'Christopher C. Walker House and Farm', 'Emily Carr House', 'First Congregational Parsonage', 'Harvey Wells House', 'Corydon Brown House', 'Foss and Wells House', 'John and Helen Moore House', 'John and Maria Adams House', 'Lane Hotel', 'James Dwight Dana House', 'Joseph W. Baldwin House', 'John Mason House']",['Arlington Hotel'],"['Arlington Hotel', 'East 78th Street Houses']","['Arlington Hotel', 'East 78th Street Houses', 'Brown Township Building']","['Baston Lodge', 'Piper-Price House', 'Townhill Park House', 'Randwick Town Hall', 'Fox Hollies Hall', 'Chatsworth House', 'Van Horne Mansion', 'Reading Town Hall', 'Markham Village Town Hall', 'Newcastle Customs House', 'International Savings & Exchange Bank Building', '359 Broadway', 'Benninghofen House', 'Bernard H. Moormann House', 'Bernard Ratterman House', 'Cuvier Press Club Building', 'Eliphalet Austin House', 'Francis D. Alling House', 'George B. Cox House', 'H. W. Derby Building', 'Heinrich A. Rattermann House', 'Henry P. Deuscher House', 'Jacob Bromwell House', 'Jacob D. Cox House', 'John C. Pollock House', 'John Tangeman House', 'Joseph W. Baldwin House', 'Luethstrom–Hurin House', 'Riddle–Friend House', 'Standard House', 'William H. Roberts House', 'Adrian Engine House No. 1', 'Cox–Williams House', 'F.H. Miller House', 'First Christian Church Parsonage', 'Geiser Grand Hotel', 'H.B. Rice Insurance Building', 'Lambert-Parent House', 'Ulster House Hotel', 'Baker-Merrill House', 'Bredeick–Lang House', 'Brown Township Building', 'Christopher C. Walker House and Farm', 'Corydon Brown House', 'George S. Clement House', 'Gilligan and Stevens Block', 'Harry Packer Mansion', 'John H. Nichols House', 'John Heck House', 'Robert Colgate House', 'Shriner–Ketcham House', 'Smith–Turner House', 'Stone Manor', 'William English House', 'William Tanner House Museum', 'William Whitney House', 'Alvord I. Smith House', 'Cassius Clark Thompson House', 'Dr. Samuel Catlin House', 'Henry Lischer House', 'Horton–Suiter House', 'J.W. Stewart House', 'Jacob Suiter House', 'James Gamble House', 'John Kendrick House', 'Schauder Hotel', 'State Street Houses', 'Villa Bella Vista', 'A.W. Pratt House', 'Aloys Bilz House', 'Benjamin Van Raalte House', 'D.A. Varnado and Son Store', 'Edward P. Ferry House', 'Engelbert B. Born House', 'Harrison Stuckslager House', 'Isaac Cappon House', 'Oakes-Wood House', 'Porter-Leath House', 'Samuel M. Lane House', 'Sarah Lowe Stedman House', 'Wesley West House', 'Wilbur D. and Hattie Cannon House', 'William H. Brown House', 'Thornton Niven House', 'Hull House', 'Omni Bedford Springs Resort', 'Beardstown Grand Opera House', 'Edward Augustus Russell House', 'Gould Hyde Norton House', 'Hall for Cornwall', 'Hotel Colorado', 'Moses J. Taylor House', 'Shoreditch Town Hall', 'Andrew C. Vaughn House', 'Clerc-Carson House', 'George Haven House', 'George Stumpf House', 'Hartwell B. Hyde House', 'Henry Pointer House', 'James S. Trimble House', 'James Wilhoite House', 'James Wylie House', 'John S. Honeyman House', 'Jordan–Williams House', 'Joseph and Lucy Foster Sexton House', 'Justice Samuel Freeman Miller House', 'McPike Mansion']",['Baston Lodge'],"['Baston Lodge', 'Piper-Price House']","['Baston Lodge', 'Piper-Price House', 'Townhill Park House']"
8,who published neo contra,['Konami'],['Konami'],['Konami'],"['Konami', 'Jim Lee']","['Konami', 'Jim Lee', 'Sota Fujimori']",['Konami'],['Konami'],"['Konami', '2004-10-19T00:00:00Z']","['Konami', '2004-10-19T00:00:00Z']",['Konami'],['Konami'],"['Konami', 'Jim Lee']","['Konami', 'Jim Lee', 'Sota Fujimori']"
9,what is angie estes's profession,['Poet'],"['writer', 'poet']",['writer'],"['writer', 'poet']","['writer', 'poet', 'California Polytechnic State University']","['writer', 'poet']",['writer'],"['writer', 'poet']","['writer', 'poet', 'California Polytechnic State University']","['The name of Angie Estes is Angie Estes.', 'University of Oregon']",['The name of Angie Estes is Angie Estes.'],"['The name of Angie Estes is Angie Estes.', 'University of Oregon']","['The name of Angie Estes is Angie Estes.', 'University of Oregon']"
