Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
How did serfdom develop in and then leave Russia ?|develop|How did develop in|WDT|IN|VB|DESC
Count the key people of the Clinton Foundation ?|Count|Count the|WDT|DT|VB|NUM
What films featured the character Popeye Doyle ?|featured|What films featured the|WDT|DT|VBD|ENTY
How can I find a list of celebrities ' real names ?|find|How can find a|WDT|DT|VB|DESC
What fowl grabs the spotlight after the Chinese Year of the Monkey ?|grabs|What fowl grabs the|WDT|DT|VBZ|ENTY
What is the full form of .com ?|is|What is is the|WDT|DT|VBZ|ABBR
What contemptible scoundrel stole the cork from my lunch ?|stole|What contemptible stole the|WDT|DT|VBD|HUM
What team did baseball 's St. Louis Browns become ?|did|What team did baseball|WDT|NN|VBD|HUM
What is the oldest profession ?|is|What is is the|WDT|DT|VBZ|HUM
What are liver enzymes ?|are|What are are liver|WDT|NN|VBP|DESC
Name the scar-faced bounty hunter of The Old West .|Name|Name the|WDT|DT|VB|HUM
When was Ozzy Osbourne born ?|born|When was born ?|WDT|.|VBN|NUM
Why do heavier objects travel downhill faster ?|travel|Why do travel downhill|WDT|RB|VB|DESC
Who was The Pride of the Yankees ?|was|Who was was The|WDT|DT|VBD|HUM
Who killed Gandhi ?|killed|Who killed killed Gandhi|WDT|NNP|VBD|HUM
What is considered the costliest disaster the insurance industry has ever faced ?|considered|What is considered the|WDT|DT|VBN|ENTY
What sprawling U.S. state boasts the most airports ?|boasts|What sprawling boasts the|WDT|DT|VBZ|LOC
What did the only repealed amendment to the U.S. Constitution deal with ?|deal|What did deal with|WDT|IN|VB|DESC
How many Jews were executed in concentration camps during WWII ?|executed|How many executed in|WDT|IN|VBN|NUM
What is `` Nine Inch Nails '' ?|is|What is is `|WDT|``|VBZ|DESC
What is an annotated bibliography ?|is|What is is an|WDT|DT|VBZ|DESC
What is the date of Boxing Day ?|is|What is is the|WDT|DT|VBZ|NUM
What articles of clothing are tokens in Monopoly ?|are|What articles are tokens|WDT|NNS|VBP|ENTY
Name 11 famous martyrs .|Name|Name 11|WDT|CD|NN|HUM
What 's the Olympic motto ?|'s|What 's 's the|WDT|DT|VBZ|DESC
What is the origin of the name ` Scarlett ' ?|is|What is is the|WDT|DT|VBZ|DESC
What 's the second-most-used vowel in English ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
Who was the inventor of silly putty ?|was|Who was was the|WDT|DT|VBD|HUM
What is the highest waterfall in the United States ?|is|What is is the|WDT|DT|VBZ|LOC
Name a golf course in Myrtle Beach .|Name|Name a|WDT|DT|VB|ENTY
Which two states enclose Chesapeake Bay ?|enclose|Which two enclose Chesapeake|WDT|NNP|VBP|LOC
What does the abbreviation AIDS stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
What does a spermologer collect ?|collect|What does collect ?|WDT|.|VB|ENTY
How many points make up a perfect fivepin bowling score ?|make|How many make up|WDT|RP|VBP|NUM
Which company that manufactures video-game hardware sells the `` super system '' ?|sells|Which company that manufactures sells the|WDT|DT|VBZ|HUM
How many Community Chest cards are there in Monopoly ?|are|How many are there|WDT|RB|VBP|NUM
What do Mormons believe ?|believe|What do believe ?|WDT|.|VB|DESC
When did the neanderthal man live ?|live|When did live ?|WDT|.|VB|NUM
In what religion was Isis the nature goddess ?|was|what religion was Isis|WDT|NNP|VBD|ENTY
Where do the adventures of `` The Swiss Family Robinson '' take place ?|adventures|Where do adventures of|WDT|IN|NNS|LOC
What relative of the racoon is sometimes known as the cat-bear ?|known|What relative known as|WDT|IN|VBN|ENTY
How can I register my website in Yahoo for free ?|register|How can register my|WDT|PRP$|VB|DESC
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|was|What was was cash|WDT|NN|VBD|ENTY
How many people in the world speak French ?|speak|How many speak French|WDT|NNP|VBP|NUM
How many inches over six feet is the Venus de Milo ?|is|How many is the|WDT|DT|VBZ|NUM
How do they find or choose witnesses to an execution ?|find|How do find or|WDT|CC|VB|DESC
What 1920s cowboy star rode Tony the Wonder Horse ?|rode|What 1920s rode Tony|WDT|NNP|VBD|HUM
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|inspired|What cocktail inspired John|WDT|NNP|VBD|ENTY
What ISPs exist in the Caribbean ?|exist|What ISPs exist in|WDT|IN|VBP|HUM
How do you ask a total stranger out on a date ?|ask|How do ask a|WDT|DT|VB|DESC
What weapon is the mythological character Apollo most proficient with ?|is|What weapon is the|WDT|DT|VBZ|ENTY
What country do the Galapagos Islands belong to ?|belong|What country belong to|WDT|IN|VBP|LOC
What is ethology ?|is|What is is ethology|WDT|NN|VBZ|DESC
Who was the prophet of the Muslim people ?|was|Who was was the|WDT|DT|VBD|HUM
Where did the term `` 86ed '' come from ?|come|Where did come from|WDT|IN|VBN|DESC
Who is Snoopy 's arch-enemy ?|is|Who is is Snoopy|WDT|NNP|VBZ|HUM
What is the nature of learning ?|is|What is is the|WDT|DT|VBZ|DESC
What 's the only color Johnny Cash wears on stage ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What 's the term for a young fox ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What U.S. state lived under six flags ?|lived|What U.S. lived under|WDT|IN|VBD|LOC
What is the Kashmir issue ?|is|What is is the|WDT|DT|VBZ|DESC
Where is the Loop ?|is|Where is is the|WDT|DT|VBZ|LOC
What does `` extended definition '' mean and how would one write a paper on it ?|write|What does how would write a|WDT|DT|VB|DESC
What country 's capital is Tirana ?|is|What country is Tirana|WDT|NNP|VBZ|LOC
What is titanium ?|is|What is is titanium|WDT|NN|VBZ|DESC
Who do Herb and Tootsie live next door to ?|live|Who do live next|WDT|JJ|VBP|HUM
Which city has the oldest relationship as a sisterðcity with Los Angeles ?|has|Which city has the|WDT|DT|VBZ|LOC
What is a caldera ?|is|What is is a|WDT|DT|VBZ|DESC
Why do people get calluses ?|get|Why do get calluses|WDT|NNS|VB|DESC
What are the names of the tourist attractions in Reims ?|are|What are are the|WDT|DT|VBP|LOC
What are Cushman and Wakefield known for ?|known|What are known for|WDT|IN|VBN|DESC
What body of water does the Danube River flow into ?|body|What body body of|WDT|IN|NN|LOC
Who is the founder of Scientology ?|is|Who is is the|WDT|DT|VBZ|HUM
What does the six-footed Musca domestica become when it enters a house ?|when|What does become when when it|WRB|PRP|VBP|ENTY
What is the history of skateboarding ?|is|What is is the|WDT|DT|VBZ|DESC
Who starred in Singing in the Rain and The Singing Nun ?|starred|Who starred starred in|WDT|IN|VBD|HUM
How do I make fuel bricks from recycled newspaper ?|make|How do make fuel|WDT|NN|VB|DESC
What 19th-century painter died in the Marquesas Islands ?|died|What 19th died in|WDT|IN|VBD|HUM
The corpus callosum is in what part of the body ?|what|is in what part|WP|NN|VBZ|ENTY
How do I log on to home page at Headquarters U.S. European Command ?|log|How do log on|WDT|RP|VB|DESC
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .|occupy|What country occupy for|WDT|IN|VBP|LOC
What is Nebraska 's most valuable resource ?|is|What is is Nebraska|WDT|NNP|VBZ|ENTY
How many species of the Great White shark are there ?|are|How many are there|WDT|RB|VBP|NUM
What is the origin of head lice ?|is|What is is the|WDT|DT|VBZ|DESC
What is the nickname for the state of Mississippi ?|is|What is is the|WDT|DT|VBZ|LOC
What was the first domesticated bird ?|was|What was was the|WDT|DT|VBD|ENTY
How many villi are found in the small intestine ?|found|How many found in|WDT|IN|VBN|NUM
What country did King Wenceslas rule ?|rule|What country rule ?|WDT|.|VB|LOC
What is a fear of shadows ?|is|What is is a|WDT|DT|VBZ|ENTY
Who were the five Marx brothers ?|were|Who were were the|WDT|DT|VBD|HUM
In which year was New Zealand excluded from the ANZUS alliance ?|excluded|which year excluded from|WDT|IN|VBN|NUM
When did CNN begin broadcasting ?|begin|When did begin broadcasting|WDT|VBG|VB|NUM
What causes the body to shiver in cold temperatures ?|causes|What causes causes the|WDT|DT|VBZ|DESC
What are bear and bull markets ?|are|What are are bear|WDT|NN|VBP|DESC
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|features|What J.R.R. features Bilbo|WDT|NNP|VBZ|ENTY
What is `` dew point '' ?|is|What is is `|WDT|``|VBZ|DESC
What is the meaning of Jesus ?|is|What is is the|WDT|DT|VBZ|DESC
What company 's logo is a `` W '' in a circle ?|is|What company is a|WDT|DT|VBZ|HUM
What is the definition of a cascade ?|is|What is is the|WDT|DT|VBZ|DESC
When did Rococo painting and architecture flourish ?|flourish|When did flourish ?|WDT|.|VBP|NUM
What country 's national passenger rail system is called Via ?|called|What country called Via|WDT|NNP|VBN|LOC
Who invented Make-up ?|invented|Who invented invented Make|WDT|VB|VBD|HUM
What is the origin of the word `` attic '' ?|is|What is is the|WDT|DT|VBZ|DESC
What did Delilah do to Samson 's hair ?|do|What did do to|WDT|IN|VB|DESC
What kind of animals were in the Paleozoic era ?|were|What kind were in|WDT|IN|VBD|ENTY
Which of the following was Rhodes Scholar ?|was|Which of was Rhodes|WDT|NNP|VBD|HUM
Who comprised the now-defunct comic book team known as the Champions ?|comprised|Who comprised comprised the|WDT|DT|VBD|HUM
How do you make a paintball ?|make|How do make a|WDT|DT|VB|DESC
What U.S. state is Fort Knox in ?|is|What U.S. is Fort|WDT|NNP|VBZ|LOC
What is a female rabbit called ?|is|What is is a|WDT|DT|VBZ|ENTY
Where is the highest point in Japan ?|is|Where is is the|WDT|DT|VBZ|LOC
Where do chihuahuas come from ?|come|Where do come from|WDT|IN|VB|DESC
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?|go|Where does go to|WDT|TO|VB|LOC
What are the world 's four oceans ?|are|What are are the|WDT|DT|VBP|LOC
What 's the only work by Michelangelo that bears his signature ?|that|What 's 's the that bears|WDT|VBZ|VBZ|ENTY
What is the largest snake in the world ?|is|What is is the|WDT|DT|VBZ|ENTY
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|is|what medium is Stuart|WDT|NNP|VBZ|ENTY
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|find|Where on find a|WDT|DT|VB|LOC
How much money does a back injury lawsuit get ?|get|How much get ?|WDT|.|VB|NUM
What 's the common name for acetylsalicylic acid ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What does the Georgetown `` Hoya '' mean ?|mean|What does mean ?|WDT|.|VBP|DESC
Where can I find a list of `` classic '' books 5th and 6th graders should read ?|find|Where can find a|WDT|DT|VB|LOC
Which two products use a tiger as their symbol ?|use|Which two use a|WDT|DT|VBP|ENTY
How is the election of a new Pope announced to the world ?|announced|How is announced to|WDT|IN|VBD|DESC
How long does it take for your blood to make one complete trip through the body ?|take|How long take for|WDT|IN|VB|NUM
How do chickens have baby chicks ?|have|How do have baby|WDT|NN|VB|DESC
What is the historical relationship of Catholic Church and bingo ?|is|What is is the|WDT|DT|VBZ|DESC
How was the element calcium named ?|was|How was was the|WDT|DT|VBD|DESC
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|joined|What crooner joined The|WDT|DT|VBD|HUM
What piano company claims its product is the `` Instrument of the immortals '' ?|claims|What piano claims its|WDT|PRP$|VBZ|HUM
When did the Bounty mutiny take place ?|take|When did take place|WDT|NN|VB|NUM
What novel inspired the movie BladeRunner ?|inspired|What novel inspired the|WDT|DT|VBD|ENTY
What is a transistor ?|is|What is is a|WDT|DT|VBZ|DESC
What is a film starring Jude Law ?|is|What is is a|WDT|DT|VBZ|ENTY
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|died|What Hollywood died in|WDT|IN|VBD|ENTY
What are the most common elements in the Earth 's crust ?|are|What are are the|WDT|DT|VBP|ENTY
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|cost|How much cost to|WDT|TO|VB|NUM
What actress has received the most Oscar nominations ?|received|What actress received the|WDT|DT|VBN|HUM
What are equity securities ?|are|What are are equity|WDT|NN|VBP|DESC
What is gymnophobia ?|is|What is is gymnophobia|WDT|JJ|VBZ|DESC
How many years do fossils take to form ?|take|How many take to|WDT|TO|VB|NUM
Where is the Orinoco ?|is|Where is is the|WDT|DT|VBZ|LOC
What was the name of the `` Little Rascals '' dog ?|was|What was was the|WDT|DT|VBD|ENTY
What city boasts Penn 's Landing , on the banks of the Delaware river ?|boasts|What city boasts Penn|WDT|NNP|VBZ|LOC
What Broadway musical was inspired by Cervantes 's Don Quixote ?|inspired|What Broadway inspired by|WDT|IN|VBN|ENTY
What is the origin of the word , JJ .|is|What is is the|WDT|DT|VBZ|DESC
How many hostages were killed in the Entebbe raid ?|killed|How many killed in|WDT|IN|VBN|NUM
How you can raise your IQ ?|raise|How you raise your|WDT|PRP$|VB|DESC
What does INRI stand for when used on Jesus ' cross ?|when|What does stand for when used|WRB|VBN|VB|ABBR
Who produces Spumante ?|produces|Who produces produces Spumante|WDT|NNP|VBZ|HUM
Who earns their money the hard way ?|earns|Who earns earns their|WDT|PRP$|VBZ|HUM
Who founded the People 's Temple Commune ?|founded|Who founded founded the|WDT|DT|VBD|HUM
What athlete makes the most money from sports merchandise sales ?|makes|What athlete makes the|WDT|DT|VBZ|HUM
How many bends are there in a standard paper clip ?|are|How many are there|WDT|RB|VBP|NUM
Who discovered electricity ?|discovered|Who discovered discovered electricity|WDT|NN|VBD|HUM
What part of your body contains the corpus callosum ?|contains|What part contains the|WDT|DT|VBZ|ENTY
Who was the first American in space ?|was|Who was was the|WDT|DT|VBD|HUM
What two South American countries do n't border Brazil ?|border|What two border Brazil|WDT|NNP|VB|LOC
What album put The Beatles on the cover of Time in 1967 ?|put|What album put The|WDT|DT|VBD|ENTY
What poem contains the line , `` grow old with me the best is yet to be '' .|is|What poem is yet|WDT|RB|VBZ|ENTY
What is a dental root canal ?|is|What is is a|WDT|DT|VBZ|DESC
What war did the Wanna-Go-Home Riots occur after ?|occur|What war occur after|WDT|RB|VBP|ENTY
What is the busiest air travel season ?|is|What is is the|WDT|DT|VBZ|NUM
What 's the colored part of the eye called ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What are hook worms ?|are|What are are hook|WDT|NN|VBP|DESC
Where is the Rose Bowl played ?|played|Where is played ?|WDT|.|VBD|LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?|had|Which Japanese had its|WDT|PRP$|VBD|HUM
Who is the mayor of Marbella ?|is|Who is is the|WDT|DT|VBZ|HUM
What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?|is|What sun is just|WDT|RB|VBZ|LOC
In what year did Thatcher become prime minister ?|become|what year become prime|WDT|JJ|VB|NUM
How many months does it take the moon to revolve around the Earth ?|take|How many take the|WDT|DT|VB|NUM
Where are the 49 steps ?|are|Where are are the|WDT|DT|VBP|LOC
In what year was De Gaulle elected president of France ?|elected|what year elected president|WDT|NN|VBD|NUM
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?|sings|Who sings sings the|WDT|DT|VBZ|HUM
Who directed `` Jaws '' ?|directed|Who directed directed `|WDT|``|VBD|HUM
On what T.V. show could Tom Terrific be found ?|found|what T.V. found ?|WDT|.|VBN|ENTY
What Indian tribe is F Troop perpetually doing battle with ?|is|What Indian is F|WDT|NNP|VBZ|HUM
Where did Indian Pudding come from ?|come|Where did come from|WDT|IN|VB|DESC
Why do some clothing labels say `` Use a nonchlorine bleach '' ?|say|Why do say `|WDT|``|VBP|DESC
How many colonies were involved in the American Revolution ?|involved|How many involved in|WDT|IN|VBN|NUM
What is the name of the city that Maurizio Pellegrin lives in ?|that|What is is the that Maurizio|WDT|NNP|VBZ|LOC
Where can I find pictorial directions on how to build a very simple treehouse ?|how|Where can find pictorial how to|WRB|TO|VB|LOC
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?|shows|What game shows the|WDT|DT|VBZ|ENTY
What is the name of the managing director of Apricot Computer ?|is|What is is the|WDT|DT|VBZ|HUM
What is the occupation of Nicholas Cage ?|is|What is is the|WDT|DT|VBZ|HUM
Why do horseshoes bring luck ?|bring|Why do bring luck|WDT|NN|VB|DESC
What is the 401 , K , plan ?|plan|What is plan ?|WDT|.|NN|DESC
