"question_id";"question";"answer"
"3986";"Count the number of people became famous for when Andrew Jackson was a commander ?";"8"
"2262";"Which location city of Denver Broncos is the palce of birth of Steven Clark Cunningham ?";"Colorado, Denver"
"855";"Which people are known for appearing on the television show Dragon's Den?";"Deborah Meaden, Doug Richard, Duncan Bannatyne, Theo Paphitis, Nick Jenkins, James Caan (entrepreneur), Rachel Elnaugh, Piers Linney, Peter Jones (entrepreneur), Dupsy Abiola"
"377";"Which office holder's governor is Charles Willing Byrd and has final resting place in North Bend, Ohio?";"William Henry Harrison"
"2308";"List all the faiths that British Columbian politicians follow?";"Anglican, Anglicanism, Catholic Church, United Church of Canada, Fellowship of Evangelical Baptist Churches in Canada, Mennonite Brethren Church, story.html, Sikh, Roman Catholic"
"688";"In which cities can the beverage related to Barq's be found?";"Jasper, Indiana, Indiana"
"2227";"Trainees at the national film school of Lodz have received what awards?";"Poland, Szczecin, Order of Polonia Restituta, Biennale of polish photography, Academy Awards"
"1018";"Give me the count of all people who ascended a peak in California?";"65"
"3702";"What is the region of Kim Sawchuk ?";"North America, Canada"
"1173";"List the total number of executive producer of TV show which have one of the executiive producer as Steven Moffat ?";"173"
"4084";"Who all were venerated in Islam?";"75"
"3753";"List down the opponents of Frank Stilwell?";"Morgan Earp, Doc Holliday, Virgil Earp, Wyatt Earp"
"3703";"Which colored race horses have won the Grand National?";"United Kingdom"
"3932";"List bacterias whose order is Bacillales and division is Firmicutes?";"Bacillus, Alicyclobacillus, Bacillus circulans, Sporosarcina pasteurii, Virgibacillus, Sporosarcina ureae, Brevibacillus borstelensis, Sporosarcina aquimarina, Alicyclobacillus acidiphilus"
"4784";"Brian Moriarty designed video games written by whom?";"Steven Spielberg, Brian Moriarty, Orson Scott Card"
"1242";"List the other members of the band of which Juelz Santana is a part?";"answer"
"1570";"What is the nationality of Aishath Saffa?";"Maldives"
"4768";"Is Fluidinfo written in PostgreSQL language?";"Yes"
"4676";"Estimate the number of sports divisions at the universities under international association of universities.";"44"
"1915";"How many universities participate in the NCAA Division I Football Bowl Subdivision?";"26"
"2992";"Count everyone who was in the military unit which is structured like the Marine Aircraft Group 13 ?";"10"
"851";"What novels belong to the genre of Utopian and dystopian fiction?";"answer"
"311";"Name the constituency of Domenico Modugno?";"Rome, Turin"
"3577";"What is the predecessor of PlayStation 4?";"PlayStation 3"
"84";"Which title of Zaman Shah Durrani is also the nationality of Salahuddin?";"Afghanistan"
"691";"List the ceremonial county of East Tilbury?";"Essex"
"2377";"List bacteria whose order (taxonomy) is Bacillales and domain is Bacteria?";"answer"
"297";"For which other teams do members of tanzanian national football team play?";"answer"
"4574";"Which televison shows have location as Massachusetts ?";"Cheers, October Road, Boston EMS (TV series), Save My Life: Boston Trauma, On Harvard Time, Evening at Pops, Penny Arcade Expo"
"3367";"Which architect of the Marine Corps Air Station Kaneohe Bay is the branch of the Burnet R. Maybank?";"United States Navy"
"4648";"How many people play for the Dallas Cowboys?";"264"
"4039";"Is the Caterpullar 797F assembled in North America?";"Yes"
"4937";"Name the origins of the river with Quich Department as one of the origin ?";"Quiché Department, Guatemala, Huehuetenango Department"
"2631";"Which university attended by Donn Barber and education institute of Jack McGregor ?";"Yale University"
"3453";"Was Gerald Gibbs the cinematographer of X the unknown?";"Yes"
"2758";"Where did the wrestler die who was billed in Norman, Oklahoma?";"Colorado, Denver, United States"
"4685";"What is the club of Perianne Jones ?";"Ottawa, Nakkertok"
"4773";"How many ingedients are required to make the Ragout Fin?";"11"
"3738";"What are the relatives of the rugby player one of whose relatives is Nick Williams?";"Sonny Bill Williams, Nick Williams"
"666";"Marika Gombitov makes songs in which languages?";"Slovakia"
"214";"Which parent organization of Get TV also owns the Galleria ?";"Sony"
"4769";"Who currently operates the railway lines one of whose stockholder is Chicago, St Paul, Minneapolis and Omaha railway?";"Chicago"
"1418";"Whose music composer is signed up with Sony Music Entertainment?";"answer"
"4597";"Which sports are played in the school which runs the Fr. Agnel Stadium?";"Association football, Chess, Hockey, Throwball"
"65";"Was Ganymede discovered by Galileo Galilei?";"Yes"
"3797";"How many politicians are there from the city of Ganges?";"9"
"4275";"Waddy wachtel did the music for what movies?";"Dickie Roberts: Former Child Star, The Benchwarmers, Strange Wilderness, Bucky Larson: Born to Be a Star, Joe Dirt 2: Beautiful Loser, Joe Dirt, Jack and Jill (2011 film), Grandma's Boy (2006 film), Up in Smoke, The House Bunny, Jimi: All Is by My Side, Paul Blart: Mall Cop, Session Man (film)"
"4210";"Where common region are soylent and bannock sold?";"North America"
"2901";"Which rivers start from the Provinces of Zambia?";"Kafue River, Zambezi"
"582";"Who are the people which ITV(TV network) has employed?";"answer"
"4126";"Is Greg Weeks the band member of Beyond the Sixth Seal?";"Yes"
"2488";"Is Steve Nash the chairman of Vancouver Whitecaps FC?";"Yes"
"2550";"Name the notable commanders of Army Group Oberrhein ?";"Heinrich Himmler, Paul Hausser"
"3998";"How many movies have their music signed up with Sony Music Entertainment.";"236"
"2776";"Count all the books written by an author buried in the Convent of Barefoot Trinitarians?";"4"
"951";"How many people are there whose children died in Indiana?";"10"
"3232";"How many people have been canonized by Pope Benedict XVI?";"41"
"1430";"What is the birth place of the children of Miguel Garca Granados?";"Guatemala City, Guatemala"
"2802";"Players from how many teams have participated in the National Hockey League?";"1394"
"2432";"What is the television show with presenter as Ryan Seacrest and theme music composer as Julian Gingell?";"American Idol"
"2470";"How many organizations work for Environmentalism?";"18"
"907";"Which county of Tremont Avenue is also the birht place of Ron Galotti?";"The Bronx"
"1682";"List all binomial authorities of the insects whose one of the binomial authority is douard Mntries?";"Édouard Ménétries, Azerbaijan, Kura River, Transcaucasia, Sal'yana, Julian Simashko"
"2307";"Who produces the tv series which made Scott Haran famous?";"Doctor Who"
"3003";"Who are the key people of FWD.us?";"Jen Martin, Rob Jesmer, Joe Green (entrepreneur), Mark Zuckerberg, Todd Schulte"
"3083";"What is the hometown of John Speraw ?";"California"
"3955";"Was the body of Elsie Paroubek discovered in Chicago?";"Yes"
"4573";"Which religions are followed by people in England?";"answer"
"4820";"What company is the one which wrote the google web toolkit and PlayN?";"Google"
"726";"Name the city served by Juhu Aerodrome?";"Mumbai"
"3085";"Which awards has been given to both michel hazanavicius and geoffrey rush?";"Academy Awards"
"1412";"How many artists' works are in Musee d'Orsay?";"47"
"4128";"Name the television show voiced by April Stewart and Eliza Schneider?";"South Park"
"2823";"Which adminstrative region of Lawrence F. Cafero is also the resting place of Samuel Keeler ?";"Connecticut"
"3219";"Which ceremonial County of the East Tilbury is also the local authority of the Trinity School, Brentwood?";"Essex"
"4970";"Name the military conflict whose commander was Colin Powell and took place in israel ?";"Gulf War"
"1566";"In which fields are both Paul Demiville and Sylvain levi experts?";"Buddhism"
"603";"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames?";"Tecumseh, Henry Procter (British Army officer)"
"171";"Is Queen Latifah associated with Afrika Baby Bam?";"Yes"
"3309";"Who battled under commander Egushawa in a conflict?";"25, Virginia militia, Indigenous peoples of the Americas, ,, Detroit militia,, Choctaw, Chickasaw, Western Confederacy, Great Britain - British North America"
"3662";"Which companies make cars with a front engine, rear wheel drive layout?";"Ford Motor Company"
"356";"Where do the sister stations of Al Khaleejiya 100.9 play?";"Dubai, Media City"
"1225";"What softwares were created by Apple Productivity Experience Group ?";"Microsoft Office, Remote Desktop Protocol, Windows Live Messenger"
