,question,entities,MuHeQA_FLERT
0,Who is the president of Poland?,['president of Poland'],['Poland']
1,How many Turing awards have people from Austria won?,"['Turing awards', ' Austria']","['Turing', 'Austria']"
2,Give me all countries that have won a FIFA World Cup,['FIFA World Cup'],['FIFA World Cup']
3,What is the population of Chile?,['Chile'],['Chile']
4,Who is the author of One Piece?,['One Piece'],['One Piece']
5,Which musicians are from Sweden?,"['musicians', ' Sweden']",['Sweden']
6,How many movies has Tarantino directed?,['Tarantino'],['Tarantino']
7,Is New York bigger than Beijing?,"['New York', ' Beijing']","['New York', 'Beijing']"
8,what countries are part of the European Union?,['European Union'],['European Union']
9,What computer scientists were born after 1970?,['computer scientists'],"['computer scientists', '1970']"
10,Is Leonardo Dicaprio older than Joaquin Phoenix?,"['Leonardo Dicaprio', ' Joaquin Phoenix']","['Leonardo Dicaprio', 'Joaquin Phoenix']"
11,In which country is the Museo del Prado located?,['Museo del Prado'],['Museo del Prado']
12,When did Caesars Palace open?,['Caesars Palace'],['Caesars Palace']
13,Which political party was Abraham Lincoln a member of?,['Abraham Lincoln'],['Abraham Lincoln']
14,Which paintings feature a banana?,"['banana', ' paintings']","['paintings', 'banana']"
15,Do any national flags use pink?,"['national flags', ' pink']","['national flags', 'pink']"
16,When did Ian Curtis commit suicide?,['Ian Curtis'],['Ian Curtis']
17,Where can I see paintings by El Greco?,['El Greco'],['El Greco']
18,In which movies did Al Pacino and Robert de Niro appear together?,"['Al Pacino', ' Robert de Niro']","['Al Pacino', 'Robert de Niro']"
19,Who is the youngest head of state in the world?,[''],['world']
20,Which mountains are on Mars?,"['Mars', ' mountain']",['Mars']
21,What alcoholic drinks are made with orange?,"['alcoholic drinks', ' orange']","['alcoholic drinks', 'orange']"
22,Which video games have a fox character?,"['fox', ' video games']","['video games', 'fox character']"
23,How many astronauts studied at MIT?,"['astronauts', ' MIT']",['MIT']
24,When was the first exoplanet discovered?,['exoplanet'],['first exoplanet']
25,Which movies were directed by siblings?,['movies'],"['movies', 'siblings']"
26,What buildings are named after JFK?,"['JFK', ' buildings']",['JFK']
27,When was Hey Jude released?,['Hey Jude'],['Hey Jude']
28,Which countries have multiple capitals?,[''],"['countries', 'multiple capitals']"
29,Which video games are known to be NP complete?,"['video games', ' NP complete']","['video games', 'np complete']"
30,What is the most common cause of death among F1 drivers?,['F1 drivers'],['F1']
31,Which asthma drugs are carcinogenic?,"['asthma', ' carcinogenic']",['asthma drugs']
32,Which countries are named after plants?,"['countries', ' plants']","['countries', 'plants']"
33,Which telescopes are based in Chile?,"['Chile', ' telescopes']",['Chile']
34,What is the chemical symbol for Potassium?,['Potassium'],['potassium']
35,What is the Twitter account of Elon Musk?,['Elon Musk'],"['Twitter', 'Elon Musk']"
36,Who is the CEO of eBay?,['eBay'],['eBay']
37,Which alkali metal is in period 4,"['alkali metal', ' period 4']","['alkali metal', 'period 4']"
38,Where can I find platypuses?,['platypuses'],['platypuses']
39,Which endangered species can be found in Chile?,"['endangered species', ' Chile']",['Chile']
40,Which country has the most nuclear power plants?,['nuclear power plants'],"['country', 'nuclear power plants']"
41,Which country has the most official languages?,['country'],"['country', 'official languages']"
42,When did ICLR start?,['ICLR'],['ICLR']
43,Which country that does not border Germany has German as an official language?,"['Germany', ' German']","['German', 'Germany']"
44,What is the national anthem of Greece?,['Greece'],['Greece']
45,Which pair of directors have co-directed the most movies together?,['movies'],"['directors', 'movies']"
46,Which company makes Twix?,['Twix'],['Twix']
47,What is the nearest black hole?,['black hole'],['black hole']
48,Which statues are made of copper?,"['statue', ' copper']","['statues', 'copper']"
49,Which conferences focus on machine learning?,"['conferences', ' machine learning']","['conferences', 'machine learning']"
50,Which cities are named after an apostle?,"['cities', ' apostle']","['cities', 'apostle']"
51,What chocolate bars are made by Nestle?,"['chocolate bars', ' Nestle']",['Nestle']
52,Who was president before Nixon?,"['president', ' Nixon']",['Nixon']
53,How many books are in the Hitchhiker's Guide to the Galaxy series?,"['""Hitchhikers Guide to the Galaxy""']","[""Hitchhiker 's Guide to the Galaxy""]"
54,Which Simpsons characters were not born in Springfield?,"['Simpsons', ' characters', ' Springfield']","['Simpsons', 'Springfield']"
55,When was sparkling water invented?,['sparkling water'],['sparkling water']
56,What articles discuss knowledge graph embeddings?,"['knowledge graph embeddings', ' articles']","['articles', 'knowledge graph embeddings']"
57,Who is the tallest basketball player of all time?,['basketball player'],['time']
58,How old is Justin Bieber?,['Justin Bieber'],['Justin Bieber']
59,Whose birthday is today?,[''],"['birthday', 'today']"
60,Is Michael Jackson the oldest child?,['Michael Jackson'],['Michael Jackson']
61,Which countries have a female head of state?,['female'],"['countries', 'state']"
62,Which countries have a monarchy?,"['countries', ' monarchy']","['countries', 'monarchy']"
63,Which universities are based in Peru?,"['universities', ' Peru']",['Peru']
64,Which element precedes tin in the periodic table?,['tin'],"['element', 'periodic table']"
65,Which element has the lowest melting point?,['element'],"['element', 'melting point']"
66,Which language is the official language of the most countries?,['countries'],"['language', 'countries']"
67,Which culinary nuts are not botanical nuts?,"['culinary nuts', ' botanical nuts']","['culinary nuts', 'botanical nuts']"
68,Which colours are named after fruits?,"['colours', ' fruits']","['colours', 'fruits']"
69,Which mayors were not human?,"['mayors', ' human']",['mayors']
70,Which polygonal numbers are also pronic?,"['polygonal numbers', ' pronic']",['polygonal numbers']
71,What's the next prime after 51?,"['prime', ' 51']",['51']
72,What animal can hear the highest frequency?,[''],"['animal', 'frequency']"
73,Which countries use the same plug as Canada?,"['countries', ' Canada']",['Canada']
74,Who has won more than one type of Nobel Prize?,['Nobel Prize'],['Nobel Prize']
75,Which city has the most catedrals?,"['city', ' catedrals']","['city', 'catedrals']"
76,What make of car is a Corolla?,['Corolla'],['Corolla']
77,What is the tallest mountain in the Andes?,"['Mountain', ' Andes']",['Andes']
78,Which American president had the most wives?,['American president'],['American']
79,Which countries drive on the left?,['left'],"['countries', 'left']"
80,When was the Rubix cube invented?,['Rubix cube'],['rubix cube']
81,Which conferences were organized by Turing award winners?,"['Turing award', ' conferences']",['Turing']
82,What video games are made by the developer of League of Legends?,"['video games', ' League of Legends']",['League of Legends']
83,"Which writers speak French, Arabic and Japanese?","['writers', ' French', ' Arabic', ' Japanese']","['Arabic', 'French', 'Japanese']"
84,Which pandemic lasted the longest?,['pandemic'],['pandemic']
85,Give me all whiskey distilleries in Ireland.,"['whiskey distilleries', ' Ireland']",['Ireland']
86,Find animals with Twitter accounts.,['animals'],['Twitter']
87,How many regions of France are there?,['regions of France'],['France']
88,Which living people have an element named after them?,"['people', ' chemical element']","['people', 'element']"
89,Which Chilean companies have U.S. parent companies?,"['companies', ' Chilean', ' U.S.']","['Chilean', 'U.S.']"
90,Did Tarantino direct a movie last year?,['Tarantino'],['Tarantino']
91,Which smartphones are made in China?,"['smartphones', ' China']",['China']
92,Which animals have a Unicode character?,['animals'],['Unicode']
93,Which movie of the past decade has won the most Academy Awards?,"['movie', ' Academy Awards']",['Academy Awards']
94,Which diesel cars are made by Honda?,"['diesel', ' cars', ' Honda']",['Honda']
95,Who was the winner of the latest Fields Medal?,['Fields Medal'],['Fields Medal']
96,Who wrote The Old Man and the Sea?,['The Old Man and the Sea'],['The Old Man and the Sea']
97,Which YouTube channels talk about maths?,"['YouTube channels', ' maths']",['YouTube']
98,List Italian sauces.,"['sauce', ' Italy']",['Italian']
99,What diseases are associated with the gene FGF14?,['FGF14'],"['diseases', 'gene fgf14']"
100,What ultra-cool dwarfs have been found in the constellation Aquarius?,"['ultra-cool dwarfs', ' Aquarius']",['Aquarius']
